szerzo,cim,jelzet,raktar,kiado,ev,targyszavak,kulso_leiras,megjegyzesek
"Maritain, Jacques","Igazi humanizmus, Az : egy új keresztény társadalom evilági és lelki vonatkozásai",100 M31,,"R.K. Egyh. Gyűjt., Sárospatak - Szt. István Társ.",1996,kultúrfilozófia; történelemfilozófia; neotomizmus; kereszténység,http://nektar.oszk.hu/hu/manifestation/204377,
"Maritain, Raissa",Nagy barátságok,100 M31,,Szt. István Társ.,1986,önéletrajz,http://nektar.oszk.hu/hu/manifestation/673264,
Márkus György - Tordai Zádor,Irányzatok a mai polgári filozófiában : egzisztencializmus : katolikus filozófia : neopozitivizmus,100 M34,,Gondolat,1964,filozófia; beszédek; tanulmányok; előadások; marxista bírálat,http://nektar.oszk.hu/hu/manifestation/1250471,
Mátrai László,Modern gondolkodás,100 M43,,Magyar Szemle,1938,filozófiatörténet; szellemtörténet; pszichológia,http://nektar.oszk.hu/hu/manifestation/3321126,
"Merleau-Ponty, Maurice","Filozófia dicsérete, A",100 M55,,Európa,2005,francia filozófia; fenomenológia; esszék; tanulmányok,http://nektar.oszk.hu/hu/manifestation/2576645,
Molnár Sándor,Szövetség a Szentlélekkel,100 M83,,szerző,2003,okkultizmus; ezoterika; misztika; New Age; hit; vallás; kereszténység,http://nektar.oszk.hu/hu/manifestation/1072191,
Molnár Tamás,Keresztény humanizmus : a szekuláris államnak és ideológiájának kritikája,100 M83,,Kairosz,2007,politikai filozófia; szociáletika; szekularizáció; vallásfilozófia; államelmélet; ateizmus; hitvédelem; apologetika,http://nektar.oszk.hu/hu/manifestation/2700787,
Molnár Tamás,Utópia : örök eretnekség,100 M83,,Szt. István Társ.,1993,filozófia; eszmetörténet; politikai ideológia; államelmélet; vallásfilozófia,http://nektar.oszk.hu/hu/manifestation/35165,
"Heidegger, Martin","Bevezetés a metafizikába : [teljes, gondozott szöveg]",100A MB H54,,Ikon,1995,középiskolai tankönyv; Matúra. Bölcselet sorozat,http://nektar.oszk.hu/hu/manifestation/158617,
"Kant, Immanuel","Erkölcsök metafizikájának alapvetése, Az",100A MB K14,,Raabe Klett,1998,filozófia; metafizika; etika; középiskolai tankönyv; Matúra. Bölcselet sorozat,http://nektar.oszk.hu/hu/manifestation/327983,
"Rousseau, Jean-Jacques","Társadalmi szerződésről, A avagy A politikai jog elvei ",100A MB R89,,PannonKlett,1997,társadalomelmélet; államelmélet; hatalom; jogfilozófia; középiskolai tankönyv; Matúra. Bölcselet sorozat,http://nektar.oszk.hu/hu/manifestation/222097,
Tommaso d'Aquino (Aquinói Szt Tamás),"Értelem egysége, Az : [teljes, gondozott szöveg]",100A MB T64,,Ikon,1993,filozófia; skolasztika; tomizmus; szöveggyűjtemény; középiskolai tankönyv; Matúra. Bölcselet sorozat,http://nektar.oszk.hu/hu/manifestation/63819,
"German, L. I.","Harcos egyház filozófiája, A",100 MIKK 10,,Szikra,1949,vallás és filozófia,http://nektar.oszk.hu/hu/manifestation/2967909,
"Cachin, Marcel",Tudomány és vallás,100 MIKK 19,,Szikra,1949,vallás és filozófia; vallás és tudomány,http://nektar.oszk.hu/hu/manifestation/2969514,
"Nietzsche, Friedrich","Ecce homo : hogyan lesz az ember azzá, ami",100 N76,,Göncöl,2007,német filozófia; memoár,http://nektar.oszk.hu/hu/manifestation/2699400,
"Nietzsche, Friedrich",Így szólott Zarathustra,100 N76,,Osiris,2001,német filozófia,http://nektar.oszk.hu/hu/manifestation/903296,
"Nietzsche, Friedrich",Im-igyen szóla Zarathustra,100 N76,,Göncöl,1988,német filozófia; hasonmás kiadás,http://nektar.oszk.hu/hu/manifestation/529604,
Nyíri Tamás,"Filozófiai gondolkodás fejlődése, A",100 N96,,Szt. István Társ.,1973,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/1269288,
Nyíri Tamás,"Filozófiai gondolkodás fejlődése, A",100 N96,,Szt. István Társ.,1998,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/295045,
"Ortega y Gasset, José","Korunk feladata - Gondolatok a regényről; Az ""emberi"" kiesése a művészetből",100 O75,,ABC,1944,spanyol filozófia; kultúrfilozófia; értékfilozófia; esztétika,http://nektar.oszk.hu/hu/manifestation/2940813,
"Ortega y Gasset, José","Korunk feladata; Gondolatok a regényről; Az ""emberi"" kiesése a művészetből",100 O75,,ABC Kvk.,1944,filozófia; Spanyolország; esszék,http://nektar.oszk.hu/hu/manifestation/2940813,
Pais István,"Görög filozófia, A",100 P12,,Gondolat,1982,filozófiatörténet; ókori filozófia; ókori Görögország,http://nektar.oszk.hu/hu/manifestation/659231,
Parmenidész - Empedoklész,Töredékek,100 P38,,Gondolat,1985,filozófiatörténet; ókori filozófia; Görögország; természetfilozófia; görögül és magyarul,http://nektar.oszk.hu/hu/manifestation/659743,
"Pascal, Blaise",Gondolatok,100 P39,,Gondolat,1978,francia filozófia,http://nektar.oszk.hu/hu/manifestation/657614,
"Pascal, Blaise",Gondolatok,100 P39,,Szukits,1996,francia filozófia,http://nektar.oszk.hu/hu/manifestation/204808,
Pauer Imre,Vázlatok az újkori philosophia köréből,100 P45,,Aigner,1872,filozófiatörténet,http://nektar.oszk.hu/hu/manifestation/3093694,
Pauler Ákos,Bevezetés a filozófiába,100 P46,,Pantheon,1921,filozófiatörténet; logika; etika; esztétika; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1546894,
Pécsi Gusztáv,Cursus brevis philosophiae : in usum scholarum - 1. Logica : metaphisica; 2. Cosmologia : psychologia; 3A. Theodicaea,100 P50,,Buzárovits Ny.,1906-1909,filozófia; metafizika; pszichológia; teodicea,http://nektar.oszk.hu/hu/manifestation/3102038,
Pekár Károly,Modern világfelfogásunk és az ember világhelyzete,100 P53,,Uránia,1905,filozófiai antropológia; kozmológia; világ teremtése,http://nektar.oszk.hu/hu/manifestation/427298,
Perecz László,"Pozitivizmustól a szellemtörténetig, A : Athenaeum, 1892-1947",100 P56,,Osiris,1998,filozófiatörténet; Magyarország; folyóirat,http://nektar.oszk.hu/hu/manifestation/326417,
"Picon, Gaetan",Korunk szellemi körképe,100 P69,,Occidental Press,1965,kultúrfilozófia; tudományfilozófia; társadalomfilozófia; művészet; művelődéstörténet; civilizáció,http://nektar.oszk.hu/hu/manifestation/2901309,
Platón,"Állam, Az",100 P73,,Gondolat,1989,ókori filozófia; Görögország; államelmélet; hatalom,http://nektar.oszk.hu/hu/manifestation/660817,
Plotinos,"Szépről és a jóról, Istenről és a hozzá vezető utakról, A",100 P73,,Farkas L. I.,1998,Plotinosz; filozófiatörténet; ókori filozófia; Görögország; neoplatonizmus,http://nektar.oszk.hu/hu/manifestation/285330,
Plótinosz,"Egyről, a szellemről és a lélekről, Az : Válogatott írások",100 P73,,Európa,1986,ókori filozófia; Görögország; neoplatonizmus,http://nektar.oszk.hu/hu/manifestation/592549,
"Pozner, Andrej Romanovics",Igazságok és paradoxonok,100 P88,,Kossuth,1979,marxista filozófia; dialektikus materializmus; ismeretelmélet; fizika,http://nektar.oszk.hu/hu/manifestation/597858,
Szabó András György (vál.),Pragmatizmus : A pragmatista filozófia megalapítóinak műveiből ,100 P89,,Gondolat,1981,ismeretelmélet; tanulmányok,http://nektar.oszk.hu/hu/manifestation/657374,
Rathmann János,Idegen szavak a filozófiában : Az arkhétól a zoón politikonig,100 R39,,Kossuth,1988,filozófia; nyelvészet; magyar nyelv; szaknyelv; nyelvhelyesség,http://nektar.oszk.hu/hu/manifestation/602421,
"Rickert, Heinrich",Kultúrtudomány és természettudomány,100 R72,,Franklin,1923,filozófia; társadalomtudomány,http://nektar.oszk.hu/hu/manifestation/3110285,
"Ricoeur, Paul",Fenomenológia és hermeneutika,100 R72,,Kossuth,1997,filozófia; Franciaország; Edmund Husserl,http://nektar.oszk.hu/hu/manifestation/216200,
Rokay Zoltán,"Filozófiatörténet - 1. Ókor, középkor, 2. Újkor, 1400-1900",100 R79,,Szt. István Társ.,2002-2010,felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/943707,
"Ross, David, Sir",Arisztotelész,100 R87,,Osiris,1996,ókori görög filozófia; életrajz,http://nektar.oszk.hu/hu/manifestation/176192,
"Rousseau, Jean-Jacques","Társadalmi szerződés, vagy Az államjog alapelvei",100 R89,,Franklin,1910,társadalomelmélet; államelmélet; hatalom; jogfilozófia,http://nektar.oszk.hu/hu/manifestation/3099273,
Rózsa Erzsébet,"Heller Ágnes, a fronézis filozófusa",100 R91,,Osiris,1997,marxista filozófia; filozófiai antropológia,http://nektar.oszk.hu/hu/manifestation/251610,
Rudas László,Marxizmus és természettudomány,100 R95,,Szikra,1948,marxista filozófia; dialektikus materializmus; történelmi materializmus,http://nektar.oszk.hu/hu/manifestation/2968255,
"Russell, Bertrand","Filozófia alapproblémái , A",100 R97,,Kossuth,1996,természetfilozófia; ismeretelmélet; neopozitivizmus; Anglia,http://nektar.oszk.hu/hu/manifestation/197838,
"Sartre, Jean-Paul",Exisztencializmus,100 S20,,Hatágú Síp Alapítvány,1991,francia filozófia; egzisztencializmus,http://nektar.oszk.hu/hu/manifestation/3805,
"Schopenhauer, Arthur","Ideálisról és reálisról szóló tan, Az; Az ideálisról és reálisról szóló tan történetének vázlata; Töredékek a filozófia történetéhez",100 S35,,Farkas L. I.,1995,német filozófia,http://nektar.oszk.hu/hu/manifestation/121761,
Schwendtner Tibor,Heidegger tudományfelfogása : az 1919-1929-es időszak írásainak tükrében,100 S42,,Osiris - Gond Alapítvány,2000,tudományfilozófia; tudományelmélet; fenomenológia; hermeneutika; Németország,http://nektar.oszk.hu/hu/manifestation/796746,
"Seneca, Lucius Annaeus",Vigasztalások - Helvia vigasztalása; Polybius vigasztalása; Marcia vigasztalása,100 S50,,M. Helikon - Európa,1967,ókori latin irodalom; ókori filozófia,http://nektar.oszk.hu/hu/manifestation/1207392,
"Shaftesbury, Anthony Ashley Cooper Earl of",Értekezés az erényről és az érdemről ,100 S53,,Kossuth,1994,filozófiatörténet; erkölcsfilozófia; valláserkölcs; etika; erények; Anglia,http://nektar.oszk.hu/hu/manifestation/74588,
Soos Mihály,"Keresztény álláspontja a természetben, A 1-2. köt.",100 S79,,Szt. István Társ.,1879,természettudomány; geológia; vallásfilozófia; apologetika; morálteológia; erkölcsteológia; vallás és természet,http://nektar.oszk.hu/hu/manifestation/3474952,
Sós Vilmos,Modern igazságelméletek : Filozófiai-logikai elemzés,100 S82,,Gondolat,1978,ismeretelmélet,http://nektar.oszk.hu/hu/manifestation/657616,
,Spinoza műhelyében : szemelvények ,100 S84,,Gondolat,1963,filozófia; Hollandia,http://nektar.oszk.hu/hu/manifestation/1246051,
"Strawson, Peter Frederick","Érzékelés és a jelentés határai, Az : értekezés Kant A tiszta ész kritikája című művéről",100 S93,,Osiris,2000,filozófia; Anglia; ismeretelmélet; Immanuel Kant,http://nektar.oszk.hu/hu/manifestation/420400,
"Wasserburg, Philipp (Laicus Fülöp)",Szabadelvű szólamok,100 Sz10,,Egri Lyc. Ny.,1873,"liberalizmus; MEI, Eger",http://nektar.oszk.hu/hu/manifestation/3101801,
Szabó Árpád - Ferge Gábor,Bevezetés a filozófiába : gimnáziumok számára,100 Sz12,,Soc. Philosophia Classica,1993,filozófiatörténet; középiskolai tankönyv,http://nektar.oszk.hu/hu/manifestation/97100,
Szitnyai Elek,"Életfilosofia problémái, Az",100 Sz84,,Franklin,1911,filozófia; etika; életvezetés; pszichológia,http://nektar.oszk.hu/hu/manifestation/1531804,
Boros Gábor - Ullmann Tamás (szerk.),"Szubjektum problémája, A : kortárs fenomenológiai tanulmányok",100 Sz96,,Tudástársadalom Alapítvány,2004,filozófia; lételmélet; szubjektivitás; Magyarország; Franciaország,http://nektar.oszk.hu/hu/manifestation/2530697,
Szunyogh Xavér Ferenc OSB,"Lét bölcselete, A",100 Sz96,,Novum Pocket,2010,vallásfilozófia; metafizika; ontológia; hit,http://nektar.oszk.hu/hu/manifestation/3021495,
"Teilhard de Chardin, Pierre SJ","Emberi jelenség, Az",100 T38,,Gondolat,1980,természetfilozófia; filozófiai antropológia; vallás és tudomány; élet; evolucionizmus,http://nektar.oszk.hu/hu/manifestation/658607,
"Teilhard de Chardin, Pierre SJ","Emberi jelenség, Az",100 T38,,Gondolat,1973,természetfilozófia; filozófiai antropológia; vallás és tudomány; élet; evolucionizmus,http://nektar.oszk.hu/hu/manifestation/1267557,
Térey Károly (Terray Károly),"Elmélet és szemlélődés : Propylaeumok, bíralataúl",100 T44,,Geibel,1843,filozófia; Magyarország; kritika,http://nektar.oszk.hu/hu/manifestation/3129078,
Tommaso d'Aquino (Aquinói Szt Tamás),"Létezőről és a lényegről, A",100 T64,,Helikon,1990,filozófia; skolasztika; tomizmus; lételmélet; metafizika; istentan; istenérv,http://nektar.oszk.hu/hu/manifestation/788107,
Trikál József,"Keresztény bölcselet akaratelméletének kifejlődése a XV. századig, A",100 T91,,Buzárovits Ny.,1910,filozófiatörténet; vallásfilozófia,http://nektar.oszk.hu/hu/manifestation/3096569,
Trikál József,"Okkultizmus bölcseleti szempontból, Az",100 T91,,Stephaneum Ny.,1931,filozófia,http://nektar.oszk.hu/hu/manifestation/1560358,
Trikál József,Természetbölcselet ,100 T91,,Szt. István Társ.,1924,természetfilozófia; kozmológia,http://nektar.oszk.hu/hu/manifestation/2897083,
Trikál József,Új élet a régi romjain,100 T91,,Szt. István Társ.,1934,társadalomfilozófia; keresztény élet; filozófiai antropológia,http://nektar.oszk.hu/hu/manifestation/2977652,
Trikál József,"Új szellemiség, Az",100 T91,,Szt. István Társ.,1937,szellemtörténet; kereszténység,http://nektar.oszk.hu/hu/manifestation/1564015,
Trikál József,William James bölcselete (Klny. a Hittudományi Folyóiratból),100 T91,,Athenaeum Ny.,1912,filozófiatörténet; pragmatizmus,http://nektar.oszk.hu/hu/manifestation/3111506,
Turay Alfréd,Filozófiatörténeti vázlatok,100 T93,,Szt. István Társ.,1996,felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/206419,
Turay Alfréd,Ismeretelmélet,100 T93,,"Katolikus Hittudományi Főiskola, Filozófiai Tanszék",1984,filozófiatörténet; fenomenológia; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1506057,
Turay Alfréd,Lételmélet,100 T93,,Katolikus Hittudományi Akadémia,1984,filozófiatörténet; metafizika; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/1506056,
Turay Alfréd - Nyíri Tamás - Bolberitz Pál,"Filozófia lényege, alapproblémái és ágai, A",100 T93,,Szt. István Társ.,1981,filozófiatörténet; filozófiatanítás; tanári kézikönyv,http://nektar.oszk.hu/hu/manifestation/673016,
Turgonyi Zoltán,"Filozófia alapjai és történetének vázlata, A",100 T94,,Egyházfórum Alapítvány,1993,filozófiatörténet; középiskolai tankönyv,http://nektar.oszk.hu/hu/manifestation/108161,
Fehér M. István (szerk.),Utak és tévutak : a budapesti Heidegger-konferencia előadásai,100 U91,,Atlantisz,1991,filozófia; Németország; Martin Heidegger; ontológia; egzisztencializmus; etika; hermeneutika; művészetfilozófia; politika; fenomenológia; konferencia-kötet,http://nektar.oszk.hu/hu/manifestation/662,
Vajda Mihály,Zárójelbe tett tudomány : a husserli fenomenológia tudományfelfogásának bírálatához,100 V21,,Akadémiai,1968,német filozófia; Edmund Husserl; kritika,http://nektar.oszk.hu/hu/manifestation/1253570,
Varga Sándor,Rickert Henrik filozófiája : a modern értékfilozófia alapvetése,100 V41,,Akadémia,1931,német filozófia; igazság,http://nektar.oszk.hu/hu/manifestation/3299641,
Vogl Márton,Philosophiai levelek : 1-16,100 V94,,Hunyadi Ny.,1884,filozófia; skolasztika; Aquinói Szt Tamás; Immanuel Kant,http://nektar.oszk.hu/hu/manifestation/3113152,
Weissmahr Béla SJ,Bevezetés az ismeretelméletbe,100 W45,,Detti Ny.,1978,filozófia; Teológiai kiskönyvtár sorozat,http://nektar.oszk.hu/hu/manifestation/1394462,
Weissmahr Béla SJ,Ontológia,100 W45,,Mérleg - Távlatok,1992,filozófia; metafizika; lételmélet,http://nektar.oszk.hu/hu/manifestation/131383,
"Wittgenstein, Ludwig",Filozófiai vizsgálódások,100 W82,,Atlantisz,1998,nyelvfilozófia; logika,http://nektar.oszk.hu/hu/manifestation/284877,
"Wittgenstein, Ludwig",Logikai-filozófiai értekezés,100 W82,,Akadémiai,1989,nyelvfilozófia; neopozitivizmus,http://nektar.oszk.hu/hu/manifestation/583950,
Wolkenberg Alajos,"Teozófia és antropozófia ismertetése és bírálata, A",100 W93,,Szt. István Társ.,1923,filozófia; kritika,http://nektar.oszk.hu/hu/manifestation/2897011,
Xenophón,Emlékeim Szókratészról,100 X60,,Európa,1986,ókori görög irodalom; ókori filozófia; Görögország; ,http://nektar.oszk.hu/hu/manifestation/592659,
Zimányi Ágnes,Filozófiai meghatározások gyűjteménye,100 Z52,,Új Ember ,2000,szaknyelv; szótár,http://nektar.oszk.hu/hu/manifestation/435769,
Zoltai Dénes,"Esztétika rövid története, Az",100 Z62,,Kossuth,1987,filozófia; kézikönyv,http://nektar.oszk.hu/hu/manifestation/601953,
"Atkinson, Rita L. - Atkinson, Richard C. - Smith, Edward E. - Bem, Daryl J.",Pszichológia,159.9 A94,,Osiris,1995,kézikönyv; felsőoktatási tankönyv,http://nektar.oszk.hu/hu/manifestation/167035,
Benkics József,Pszichológiai alapismeretek : keresztény szemmel : önismeret és keresztény (ön)nevelés,159.9 B51,,Márton Áron K.,2000,valláspszichológia; önismeret,http://nektar.oszk.hu/hu/manifestation/433354,
Benkő Antal SJ,Bevezetés a valláslélektanba,159.9 B51,,Detti Ny.,1979,valláspszichológia; Teológiai kiskönyvtár sorozat,http://nektar.oszk.hu/hu/manifestation/1395575,
Buday László,"Fejlődés, hit, alkat",159.9 B95,,Veritas,1994,pszichológia; személyiséglélektan,http://nektar.oszk.hu/hu/manifestation/2944063,
"Carver, Charles S. - Scheierm Michael F.",Személyiségpszichológia,159.9 C12,,Osiris,1998,személyiséglélektan; önismeret,http://nektar.oszk.hu/hu/manifestation/277149,
Csúsz Klára,Csoportlélektan,159.9 CSMMF 02,,Híd Családsegítő Közp.,1990,"Családsegítés, mentálhygiéné módszertani füzetek sorozat",http://nektar.oszk.hu/hu/manifestation/557089,
"Faber, Heije - Schoot, Ebel van der","Lelkigondozói beszélgetés lélektana, A",159.9 CSMMF 03,,Híd Családsegítő Közp.,1990,"pszichológia; mentálhigiéné; lelkigondozás; pasztorálteológia; segítő beszélgetés; Családsegítés, mentálhygiéné módszertani füzetek sorozat",http://nektar.oszk.hu/hu/manifestation/556700,
